fpr,tpr,Thresholds,Data,Train Size,Speaker Number,Positive,Method
0.271333333,0.02,0.73834956,Digit Data,40%,30,Unauthorized,flatten_1
0.274333333,0.02,0.7381045,Digit Data,40%,30,Unauthorized,flatten_1
0.274333333,0.022,0.7380684000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.28600000000000003,0.022,0.73644084,Digit Data,40%,30,Unauthorized,flatten_1
0.28600000000000003,0.025,0.73626214,Digit Data,40%,30,Unauthorized,flatten_1
0.293666667,0.025,0.73505414,Digit Data,40%,30,Unauthorized,flatten_1
0.293666667,0.026,0.73503447,Digit Data,40%,30,Unauthorized,flatten_1
0.294,0.026,0.7350154000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.294,0.027000000000000003,0.73497987,Digit Data,40%,30,Unauthorized,flatten_1
0.297666667,0.027000000000000003,0.73421514,Digit Data,40%,30,Unauthorized,flatten_1
0.297666667,0.028,0.73421454,Digit Data,40%,30,Unauthorized,flatten_1
0.298666667,0.028,0.7340601,Digit Data,40%,30,Unauthorized,flatten_1
0.298666667,0.029,0.7339901,Digit Data,40%,30,Unauthorized,flatten_1
0.302,0.029,0.7334261,Digit Data,40%,30,Unauthorized,flatten_1
0.302,0.03,0.7334063,Digit Data,40%,30,Unauthorized,flatten_1
0.303666667,0.03,0.73326826,Digit Data,40%,30,Unauthorized,flatten_1
0.303666667,0.031,0.7332276999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.304333333,0.031,0.733193,Digit Data,40%,30,Unauthorized,flatten_1
0.304333333,0.032,0.7331866,Digit Data,40%,30,Unauthorized,flatten_1
0.305,0.032,0.73311543,Digit Data,40%,30,Unauthorized,flatten_1
0.305,0.033,0.733106,Digit Data,40%,30,Unauthorized,flatten_1
0.305666667,0.033,0.7329372,Digit Data,40%,30,Unauthorized,flatten_1
0.305666667,0.034,0.732915,Digit Data,40%,30,Unauthorized,flatten_1
0.313666667,0.034,0.7318748,Digit Data,40%,30,Unauthorized,flatten_1
0.313666667,0.035,0.7318438,Digit Data,40%,30,Unauthorized,flatten_1
0.320666667,0.035,0.7308972,Digit Data,40%,30,Unauthorized,flatten_1
0.320666667,0.036000000000000004,0.7308912,Digit Data,40%,30,Unauthorized,flatten_1
0.321,0.036000000000000004,0.73082566,Digit Data,40%,30,Unauthorized,flatten_1
0.321,0.037000000000000005,0.73079395,Digit Data,40%,30,Unauthorized,flatten_1
0.322333333,0.037000000000000005,0.7306106,Digit Data,40%,30,Unauthorized,flatten_1
0.322333333,0.038,0.73057985,Digit Data,40%,30,Unauthorized,flatten_1
0.341333333,0.038,0.72824705,Digit Data,40%,30,Unauthorized,flatten_1
0.341333333,0.039,0.72820604,Digit Data,40%,30,Unauthorized,flatten_1
0.34600000000000003,0.039,0.72777426,Digit Data,40%,30,Unauthorized,flatten_1
0.34600000000000003,0.04,0.72768104,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.04,0.72757673,Digit Data,40%,30,Unauthorized,flatten_1
0.346333333,0.041,0.7275514,Digit Data,40%,30,Unauthorized,flatten_1
0.34866666700000004,0.041,0.72737646,Digit Data,40%,30,Unauthorized,flatten_1
0.34866666700000004,0.042,0.72725797,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.042,0.7267185,Digit Data,40%,30,Unauthorized,flatten_1
0.353333333,0.043,0.72670853,Digit Data,40%,30,Unauthorized,flatten_1
0.361,0.043,0.7257358,Digit Data,40%,30,Unauthorized,flatten_1
0.361,0.044,0.72571564,Digit Data,40%,30,Unauthorized,flatten_1
0.361333333,0.044,0.7256956999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.361333333,0.045,0.72563106,Digit Data,40%,30,Unauthorized,flatten_1
0.369,0.045,0.7246059,Digit Data,40%,30,Unauthorized,flatten_1
0.369,0.046,0.72454286,Digit Data,40%,30,Unauthorized,flatten_1
0.369333333,0.046,0.72442245,Digit Data,40%,30,Unauthorized,flatten_1
0.369333333,0.047,0.7244073000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.37,0.047,0.72438526,Digit Data,40%,30,Unauthorized,flatten_1
0.37,0.048,0.724371,Digit Data,40%,30,Unauthorized,flatten_1
0.379,0.048,0.72324896,Digit Data,40%,30,Unauthorized,flatten_1
0.379,0.049,0.7232449000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.380333333,0.049,0.7231314999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.380333333,0.05,0.7229817,Digit Data,40%,30,Unauthorized,flatten_1
0.383666667,0.05,0.72266865,Digit Data,40%,30,Unauthorized,flatten_1
0.383666667,0.052000000000000005,0.722587,Digit Data,40%,30,Unauthorized,flatten_1
0.385333333,0.052000000000000005,0.7225305999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.385333333,0.055,0.72247005,Digit Data,40%,30,Unauthorized,flatten_1
0.385666667,0.055,0.72245395,Digit Data,40%,30,Unauthorized,flatten_1
0.385666667,0.056,0.72235477,Digit Data,40%,30,Unauthorized,flatten_1
0.386333333,0.056,0.7223108,Digit Data,40%,30,Unauthorized,flatten_1
0.386333333,0.058,0.7222719,Digit Data,40%,30,Unauthorized,flatten_1
0.387,0.058,0.72225654,Digit Data,40%,30,Unauthorized,flatten_1
0.387,0.06,0.7222138000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.388,0.06,0.7221024,Digit Data,40%,30,Unauthorized,flatten_1
0.388,0.062,0.7220309,Digit Data,40%,30,Unauthorized,flatten_1
0.391,0.062,0.7218089,Digit Data,40%,30,Unauthorized,flatten_1
0.391,0.063,0.72178894,Digit Data,40%,30,Unauthorized,flatten_1
0.392,0.063,0.72168773,Digit Data,40%,30,Unauthorized,flatten_1
0.392,0.065,0.72167635,Digit Data,40%,30,Unauthorized,flatten_1
0.398666667,0.065,0.7212433000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.398666667,0.066,0.72120804,Digit Data,40%,30,Unauthorized,flatten_1
0.404,0.066,0.7205039000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.404,0.067,0.72050273,Digit Data,40%,30,Unauthorized,flatten_1
0.408,0.067,0.72020525,Digit Data,40%,30,Unauthorized,flatten_1
0.408,0.068,0.72017026,Digit Data,40%,30,Unauthorized,flatten_1
0.417333333,0.068,0.71922505,Digit Data,40%,30,Unauthorized,flatten_1
0.417333333,0.069,0.7191907,Digit Data,40%,30,Unauthorized,flatten_1
0.426,0.069,0.7184831,Digit Data,40%,30,Unauthorized,flatten_1
0.426,0.071,0.7184558000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.4270000000000001,0.071,0.7183906,Digit Data,40%,30,Unauthorized,flatten_1
0.4270000000000001,0.07200000000000001,0.71826994,Digit Data,40%,30,Unauthorized,flatten_1
0.433,0.07200000000000001,0.7178941,Digit Data,40%,30,Unauthorized,flatten_1
0.433,0.073,0.71783745,Digit Data,40%,30,Unauthorized,flatten_1
0.437333333,0.073,0.71726155,Digit Data,40%,30,Unauthorized,flatten_1
0.437333333,0.07400000000000001,0.7172408,Digit Data,40%,30,Unauthorized,flatten_1
0.438,0.07400000000000001,0.7172246999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.438,0.075,0.71720815,Digit Data,40%,30,Unauthorized,flatten_1
0.438333333,0.075,0.71717393,Digit Data,40%,30,Unauthorized,flatten_1
0.438333333,0.076,0.71716833,Digit Data,40%,30,Unauthorized,flatten_1
0.443333333,0.076,0.71667624,Digit Data,40%,30,Unauthorized,flatten_1
0.443333333,0.077,0.7165854,Digit Data,40%,30,Unauthorized,flatten_1
0.444666667,0.077,0.7165376999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.444666667,0.078,0.7165147,Digit Data,40%,30,Unauthorized,flatten_1
0.449333333,0.078,0.71598494,Digit Data,40%,30,Unauthorized,flatten_1
0.449333333,0.079,0.7159685,Digit Data,40%,30,Unauthorized,flatten_1
0.453333333,0.079,0.71564233,Digit Data,40%,30,Unauthorized,flatten_1
0.453333333,0.08,0.7156333,Digit Data,40%,30,Unauthorized,flatten_1
0.456666667,0.08,0.7154678000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.456666667,0.081,0.7154560999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.457666667,0.081,0.7153909,Digit Data,40%,30,Unauthorized,flatten_1
0.457666667,0.08199999999999999,0.7153681,Digit Data,40%,30,Unauthorized,flatten_1
0.462333333,0.08199999999999999,0.71485645,Digit Data,40%,30,Unauthorized,flatten_1
0.462333333,0.083,0.71485484,Digit Data,40%,30,Unauthorized,flatten_1
0.464,0.083,0.7144256999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.464,0.086,0.71423614,Digit Data,40%,30,Unauthorized,flatten_1
0.466333333,0.086,0.71412516,Digit Data,40%,30,Unauthorized,flatten_1
0.466333333,0.087,0.7141227,Digit Data,40%,30,Unauthorized,flatten_1
0.468,0.087,0.7140245,Digit Data,40%,30,Unauthorized,flatten_1
0.468,0.08800000000000001,0.71400917,Digit Data,40%,30,Unauthorized,flatten_1
0.469666667,0.08800000000000001,0.7139175,Digit Data,40%,30,Unauthorized,flatten_1
0.469666667,0.08900000000000001,0.7138779000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.475,0.08900000000000001,0.71352255,Digit Data,40%,30,Unauthorized,flatten_1
0.475,0.09,0.71344256,Digit Data,40%,30,Unauthorized,flatten_1
0.477333333,0.09,0.71319103,Digit Data,40%,30,Unauthorized,flatten_1
0.477333333,0.093,0.7131398,Digit Data,40%,30,Unauthorized,flatten_1
0.479,0.093,0.7130719,Digit Data,40%,30,Unauthorized,flatten_1
0.479,0.094,0.7130196999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.480333333,0.094,0.7129363000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.480333333,0.095,0.7129222,Digit Data,40%,30,Unauthorized,flatten_1
0.483333333,0.095,0.712571,Digit Data,40%,30,Unauthorized,flatten_1
0.483333333,0.097,0.71255416,Digit Data,40%,30,Unauthorized,flatten_1
0.484333333,0.097,0.7125173,Digit Data,40%,30,Unauthorized,flatten_1
0.484333333,0.098,0.7125036,Digit Data,40%,30,Unauthorized,flatten_1
0.4876666670000001,0.098,0.7122736,Digit Data,40%,30,Unauthorized,flatten_1
0.4876666670000001,0.099,0.7122556,Digit Data,40%,30,Unauthorized,flatten_1
0.4886666670000001,0.099,0.71212745,Digit Data,40%,30,Unauthorized,flatten_1
0.4886666670000001,0.1,0.71211773,Digit Data,40%,30,Unauthorized,flatten_1
0.49,0.1,0.71201265,Digit Data,40%,30,Unauthorized,flatten_1
0.49,0.101,0.71196496,Digit Data,40%,30,Unauthorized,flatten_1
0.490333333,0.101,0.7119648000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.490333333,0.103,0.7119446,Digit Data,40%,30,Unauthorized,flatten_1
0.491,0.103,0.7118591,Digit Data,40%,30,Unauthorized,flatten_1
0.491333333,0.104,0.71180475,Digit Data,40%,30,Unauthorized,flatten_1
0.492333333,0.104,0.7117713999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.492333333,0.105,0.71174705,Digit Data,40%,30,Unauthorized,flatten_1
0.494666667,0.105,0.7116110999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.494666667,0.106,0.71159273,Digit Data,40%,30,Unauthorized,flatten_1
0.495333333,0.106,0.71157014,Digit Data,40%,30,Unauthorized,flatten_1
0.495333333,0.107,0.7115561,Digit Data,40%,30,Unauthorized,flatten_1
0.510333333,0.107,0.7103474,Digit Data,40%,30,Unauthorized,flatten_1
0.510333333,0.108,0.7103417,Digit Data,40%,30,Unauthorized,flatten_1
0.517333333,0.108,0.7098809,Digit Data,40%,30,Unauthorized,flatten_1
0.517333333,0.109,0.7098757,Digit Data,40%,30,Unauthorized,flatten_1
0.518,0.109,0.7098366,Digit Data,40%,30,Unauthorized,flatten_1
0.518,0.11,0.70982224,Digit Data,40%,30,Unauthorized,flatten_1
0.525,0.11,0.7091042,Digit Data,40%,30,Unauthorized,flatten_1
0.525,0.111,0.70905924,Digit Data,40%,30,Unauthorized,flatten_1
0.525666667,0.111,0.7089288,Digit Data,40%,30,Unauthorized,flatten_1
0.525666667,0.112,0.70892495,Digit Data,40%,30,Unauthorized,flatten_1
0.526666667,0.112,0.7087283000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.526666667,0.114,0.7086557,Digit Data,40%,30,Unauthorized,flatten_1
0.528,0.114,0.7084018,Digit Data,40%,30,Unauthorized,flatten_1
0.528,0.115,0.70838267,Digit Data,40%,30,Unauthorized,flatten_1
0.532,0.115,0.7080145,Digit Data,40%,30,Unauthorized,flatten_1
0.532,0.116,0.7080059,Digit Data,40%,30,Unauthorized,flatten_1
0.532666667,0.116,0.7079725,Digit Data,40%,30,Unauthorized,flatten_1
0.532666667,0.118,0.70786226,Digit Data,40%,30,Unauthorized,flatten_1
0.533666667,0.118,0.7078012,Digit Data,40%,30,Unauthorized,flatten_1
0.533666667,0.119,0.7077659000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.535,0.119,0.7076123000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.535,0.121,0.70756567,Digit Data,40%,30,Unauthorized,flatten_1
0.538333333,0.121,0.70734215,Digit Data,40%,30,Unauthorized,flatten_1
0.538333333,0.123,0.7072755000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.543333333,0.123,0.706853,Digit Data,40%,30,Unauthorized,flatten_1
0.543333333,0.124,0.706836,Digit Data,40%,30,Unauthorized,flatten_1
0.547333333,0.124,0.70642483,Digit Data,40%,30,Unauthorized,flatten_1
0.547333333,0.125,0.7062143,Digit Data,40%,30,Unauthorized,flatten_1
0.550666667,0.125,0.70575523,Digit Data,40%,30,Unauthorized,flatten_1
0.550666667,0.126,0.7057469,Digit Data,40%,30,Unauthorized,flatten_1
0.552,0.126,0.70563865,Digit Data,40%,30,Unauthorized,flatten_1
0.552,0.127,0.70563555,Digit Data,40%,30,Unauthorized,flatten_1
0.552333333,0.127,0.7056222,Digit Data,40%,30,Unauthorized,flatten_1
0.552333333,0.128,0.7056085,Digit Data,40%,30,Unauthorized,flatten_1
0.5539999999999999,0.128,0.70537436,Digit Data,40%,30,Unauthorized,flatten_1
0.5539999999999999,0.129,0.7052641,Digit Data,40%,30,Unauthorized,flatten_1
0.554333333,0.129,0.70525926,Digit Data,40%,30,Unauthorized,flatten_1
0.554333333,0.13,0.7052331000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.556666667,0.13,0.70495045,Digit Data,40%,30,Unauthorized,flatten_1
0.556666667,0.133,0.7048922,Digit Data,40%,30,Unauthorized,flatten_1
0.557,0.133,0.7048787,Digit Data,40%,30,Unauthorized,flatten_1
0.557,0.134,0.70479596,Digit Data,40%,30,Unauthorized,flatten_1
0.558666667,0.134,0.7045733000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.558666667,0.135,0.70449173,Digit Data,40%,30,Unauthorized,flatten_1
0.560666667,0.135,0.7041143,Digit Data,40%,30,Unauthorized,flatten_1
0.560666667,0.136,0.7040888000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.561333333,0.136,0.70404077,Digit Data,40%,30,Unauthorized,flatten_1
0.561333333,0.138,0.7039368,Digit Data,40%,30,Unauthorized,flatten_1
0.565333333,0.138,0.70355785,Digit Data,40%,30,Unauthorized,flatten_1
0.565333333,0.139,0.7035358,Digit Data,40%,30,Unauthorized,flatten_1
0.566333333,0.139,0.70334005,Digit Data,40%,30,Unauthorized,flatten_1
0.566333333,0.142,0.70318884,Digit Data,40%,30,Unauthorized,flatten_1
0.566666667,0.142,0.70310754,Digit Data,40%,30,Unauthorized,flatten_1
0.566666667,0.14300000000000002,0.70304275,Digit Data,40%,30,Unauthorized,flatten_1
0.5670000000000001,0.14300000000000002,0.7029557,Digit Data,40%,30,Unauthorized,flatten_1
0.5670000000000001,0.14400000000000002,0.7029065,Digit Data,40%,30,Unauthorized,flatten_1
0.567333333,0.14400000000000002,0.70290416,Digit Data,40%,30,Unauthorized,flatten_1
0.567333333,0.145,0.7028618000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.568,0.145,0.7027966999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.568,0.146,0.7027270999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.568666667,0.146,0.7026758000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.568666667,0.147,0.7026701999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.569,0.147,0.70265746,Digit Data,40%,30,Unauthorized,flatten_1
0.569,0.14800000000000002,0.7026475000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.569666667,0.14800000000000002,0.70256466,Digit Data,40%,30,Unauthorized,flatten_1
0.569666667,0.149,0.70254886,Digit Data,40%,30,Unauthorized,flatten_1
0.572333333,0.149,0.7021103,Digit Data,40%,30,Unauthorized,flatten_1
0.572333333,0.151,0.7020767,Digit Data,40%,30,Unauthorized,flatten_1
0.575666667,0.151,0.7017913,Digit Data,40%,30,Unauthorized,flatten_1
0.575666667,0.152,0.70177186,Digit Data,40%,30,Unauthorized,flatten_1
0.580333333,0.152,0.7012649000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.580333333,0.153,0.7012553,Digit Data,40%,30,Unauthorized,flatten_1
0.581,0.153,0.7011305,Digit Data,40%,30,Unauthorized,flatten_1
0.581,0.154,0.70105314,Digit Data,40%,30,Unauthorized,flatten_1
0.581666667,0.154,0.70087427,Digit Data,40%,30,Unauthorized,flatten_1
0.581666667,0.158,0.7007220000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.583666667,0.158,0.70043623,Digit Data,40%,30,Unauthorized,flatten_1
0.583666667,0.159,0.7004081,Digit Data,40%,30,Unauthorized,flatten_1
0.585,0.159,0.70018196,Digit Data,40%,30,Unauthorized,flatten_1
0.585,0.16,0.70018023,Digit Data,40%,30,Unauthorized,flatten_1
0.586333333,0.16,0.7000381999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.586333333,0.162,0.6999514,Digit Data,40%,30,Unauthorized,flatten_1
0.5870000000000001,0.162,0.6998944,Digit Data,40%,30,Unauthorized,flatten_1
0.5870000000000001,0.16399999999999998,0.6998863000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.589,0.16399999999999998,0.699612,Digit Data,40%,30,Unauthorized,flatten_1
0.589,0.165,0.6995994000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.589666667,0.165,0.6995591,Digit Data,40%,30,Unauthorized,flatten_1
0.589666667,0.16699999999999998,0.6995175,Digit Data,40%,30,Unauthorized,flatten_1
0.591,0.16699999999999998,0.6993885999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.591,0.168,0.6993829,Digit Data,40%,30,Unauthorized,flatten_1
0.5920000000000001,0.168,0.6991651,Digit Data,40%,30,Unauthorized,flatten_1
0.5920000000000001,0.17,0.6991045,Digit Data,40%,30,Unauthorized,flatten_1
0.592666667,0.17,0.69906366,Digit Data,40%,30,Unauthorized,flatten_1
0.592666667,0.171,0.69905037,Digit Data,40%,30,Unauthorized,flatten_1
0.593333333,0.171,0.69897306,Digit Data,40%,30,Unauthorized,flatten_1
0.593333333,0.172,0.69897103,Digit Data,40%,30,Unauthorized,flatten_1
0.594333333,0.172,0.6988627,Digit Data,40%,30,Unauthorized,flatten_1
0.594333333,0.173,0.6988045,Digit Data,40%,30,Unauthorized,flatten_1
0.595333333,0.173,0.6987196,Digit Data,40%,30,Unauthorized,flatten_1
0.595333333,0.175,0.6986604999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.595666667,0.175,0.69865525,Digit Data,40%,30,Unauthorized,flatten_1
0.595666667,0.177,0.6986338000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.596,0.177,0.69857514,Digit Data,40%,30,Unauthorized,flatten_1
0.596,0.179,0.69854087,Digit Data,40%,30,Unauthorized,flatten_1
0.596333333,0.179,0.69850826,Digit Data,40%,30,Unauthorized,flatten_1
0.596333333,0.18,0.69844913,Digit Data,40%,30,Unauthorized,flatten_1
0.597,0.18,0.69836676,Digit Data,40%,30,Unauthorized,flatten_1
0.597,0.181,0.698362,Digit Data,40%,30,Unauthorized,flatten_1
0.599666667,0.181,0.6979835999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.599666667,0.182,0.69795644,Digit Data,40%,30,Unauthorized,flatten_1
0.6,0.182,0.6978854,Digit Data,40%,30,Unauthorized,flatten_1
0.6,0.183,0.69779336,Digit Data,40%,30,Unauthorized,flatten_1
0.600666667,0.183,0.6975712,Digit Data,40%,30,Unauthorized,flatten_1
0.600666667,0.184,0.6975214,Digit Data,40%,30,Unauthorized,flatten_1
0.601666667,0.184,0.6973906999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.601666667,0.185,0.6973349,Digit Data,40%,30,Unauthorized,flatten_1
0.602666667,0.185,0.69724166,Digit Data,40%,30,Unauthorized,flatten_1
0.602666667,0.18600000000000005,0.6972262,Digit Data,40%,30,Unauthorized,flatten_1
0.603,0.18600000000000005,0.6971208999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.603,0.187,0.69705194,Digit Data,40%,30,Unauthorized,flatten_1
0.604666667,0.187,0.69687265,Digit Data,40%,30,Unauthorized,flatten_1
0.604666667,0.188,0.6968726,Digit Data,40%,30,Unauthorized,flatten_1
0.6053333329999999,0.188,0.6968648000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.6053333329999999,0.19,0.6967501,Digit Data,40%,30,Unauthorized,flatten_1
0.605666667,0.19,0.6967422,Digit Data,40%,30,Unauthorized,flatten_1
0.605666667,0.191,0.6967354,Digit Data,40%,30,Unauthorized,flatten_1
0.606666667,0.191,0.6966319000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.606666667,0.192,0.6966262,Digit Data,40%,30,Unauthorized,flatten_1
0.607666667,0.192,0.69646233,Digit Data,40%,30,Unauthorized,flatten_1
0.607666667,0.193,0.6964289,Digit Data,40%,30,Unauthorized,flatten_1
0.608,0.193,0.69634485,Digit Data,40%,30,Unauthorized,flatten_1
0.608,0.194,0.696328,Digit Data,40%,30,Unauthorized,flatten_1
0.6093333329999999,0.194,0.6960107,Digit Data,40%,30,Unauthorized,flatten_1
0.6093333329999999,0.196,0.6959695,Digit Data,40%,30,Unauthorized,flatten_1
0.6103333329999999,0.196,0.69586366,Digit Data,40%,30,Unauthorized,flatten_1
0.6103333329999999,0.198,0.69579077,Digit Data,40%,30,Unauthorized,flatten_1
0.611666667,0.198,0.6956126,Digit Data,40%,30,Unauthorized,flatten_1
0.611666667,0.199,0.69556963,Digit Data,40%,30,Unauthorized,flatten_1
0.612666667,0.199,0.69542027,Digit Data,40%,30,Unauthorized,flatten_1
0.612666667,0.202,0.69536567,Digit Data,40%,30,Unauthorized,flatten_1
0.6133333329999999,0.202,0.6952602,Digit Data,40%,30,Unauthorized,flatten_1
0.6133333329999999,0.203,0.6952347,Digit Data,40%,30,Unauthorized,flatten_1
0.614,0.203,0.6951889,Digit Data,40%,30,Unauthorized,flatten_1
0.614,0.205,0.69513273,Digit Data,40%,30,Unauthorized,flatten_1
0.6153333329999999,0.205,0.6948196999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.6153333329999999,0.208,0.6946943,Digit Data,40%,30,Unauthorized,flatten_1
0.6163333329999999,0.208,0.694613,Digit Data,40%,30,Unauthorized,flatten_1
0.6163333329999999,0.209,0.69457996,Digit Data,40%,30,Unauthorized,flatten_1
0.6166666670000001,0.209,0.6945491,Digit Data,40%,30,Unauthorized,flatten_1
0.6166666670000001,0.211,0.6944231,Digit Data,40%,30,Unauthorized,flatten_1
0.6173333329999999,0.211,0.6943792,Digit Data,40%,30,Unauthorized,flatten_1
0.6173333329999999,0.213,0.69433457,Digit Data,40%,30,Unauthorized,flatten_1
0.6196666670000001,0.213,0.69402766,Digit Data,40%,30,Unauthorized,flatten_1
0.6196666670000001,0.217,0.69388187,Digit Data,40%,30,Unauthorized,flatten_1
0.62,0.217,0.6938298,Digit Data,40%,30,Unauthorized,flatten_1
0.62,0.218,0.6936798000000001,Digit Data,40%,30,Unauthorized,flatten_1
0.623,0.218,0.69328266,Digit Data,40%,30,Unauthorized,flatten_1
0.623,0.221,0.69315755,Digit Data,40%,30,Unauthorized,flatten_1
0.6246666670000001,0.221,0.6928926999999999,Digit Data,40%,30,Unauthorized,flatten_1
0.6246666670000001,0.223,0.6928638,Digit Data,40%,30,Unauthorized,flatten_1
0.626,0.223,0.69270796,Digit Data,40%,30,Unauthorized,flatten_1
0.626,0.224,0.69269025,Digit Data,40%,30,Unauthorized,flatten_1
0.6263333329999999,0.224,0.69260526,Digit Data,40%,30,Unauthorized,flatten_1
